DATE,median,p10,p90,RISK_LEVEL,ALERT_IF_P90_HIGH,ALERT_IF_P90_VERY_HIGH,THRESH_Q50,THRESH_Q75,THRESH_Q90
2033-09-01,147.67916902899742,120.12471544742584,171.28672873973846,MODERATE,False,False,94.0,325.0,890.6
2033-10-01,109.77102428674698,88.59190461039543,129.00541096925735,MODERATE,False,False,94.0,325.0,890.6
2033-11-01,63.53476941585541,36.70073227584362,85.51952856779099,LOW,False,False,94.0,325.0,890.6
2033-12-01,19.23293504863977,0.0,42.60697202384472,LOW,False,False,94.0,325.0,890.6
2034-01-01,12.02979151159525,0.0,31.55139013379812,LOW,False,False,94.0,325.0,890.6
2034-02-01,6.7394389025866985,0.0,26.13666599243879,LOW,False,False,94.0,325.0,890.6
2034-03-01,11.130913719534874,0.0,31.731287643313404,LOW,False,False,94.0,325.0,890.6
2034-04-01,27.911901734769344,7.8614477179944515,46.252441108226776,LOW,False,False,94.0,325.0,890.6
2034-05-01,44.50274534523487,25.33245274424553,66.14541409909725,LOW,False,False,94.0,325.0,890.6
2034-06-01,97.20917835831642,73.38546401262283,122.11234566569328,MODERATE,False,False,94.0,325.0,890.6
2034-07-01,144.10547509789467,123.09350511431694,169.77316403388977,MODERATE,False,False,94.0,325.0,890.6
2034-08-01,158.71052861213684,134.20123934745789,187.8745344281197,MODERATE,False,False,94.0,325.0,890.6
2034-09-01,148.55778977274895,126.13446673750876,171.78364992141724,MODERATE,False,False,94.0,325.0,890.6
2034-10-01,109.65933740139008,89.76454392075539,125.22286653518675,MODERATE,False,False,94.0,325.0,890.6
2034-11-01,65.81045091152191,41.46953685581684,85.13623440265656,LOW,False,False,94.0,325.0,890.6
2034-12-01,16.504732966423035,0.0,39.23903824388981,LOW,False,False,94.0,325.0,890.6
2035-01-01,12.48812671750784,0.0,31.38452268391848,LOW,False,False,94.0,325.0,890.6
2035-02-01,5.52171440795064,0.0,26.662587054073807,LOW,False,False,94.0,325.0,890.6
2035-03-01,12.198430486023426,0.0,31.249668091535565,LOW,False,False,94.0,325.0,890.6
2035-04-01,28.40128481388092,8.705500867217781,46.8003554046154,LOW,False,False,94.0,325.0,890.6
2035-05-01,47.34692685306072,22.99525985121727,66.84834302961826,LOW,False,False,94.0,325.0,890.6
2035-06-01,100.9966193139553,73.96133282780647,131.90528255701065,MODERATE,False,False,94.0,325.0,890.6
2035-07-01,146.86331152915955,119.96733662486076,176.35194009542465,MODERATE,False,False,94.0,325.0,890.6
2035-08-01,159.69606906175613,135.24993661046028,190.90168231725693,MODERATE,False,False,94.0,325.0,890.6
2035-09-01,149.07066345214844,124.6651203930378,169.48158818483353,MODERATE,False,False,94.0,325.0,890.6
2035-10-01,109.27485883235931,88.52930581569672,128.18954607844353,MODERATE,False,False,94.0,325.0,890.6
2035-11-01,66.39248102903366,37.50799291580916,88.9254741370678,LOW,False,False,94.0,325.0,890.6
2035-12-01,16.004711501300335,0.0,38.90808281302452,LOW,False,False,94.0,325.0,890.6
